passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",73,Malang,,Sarr,3775,1999-01-23,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",393228,left,M. Sarr,4423,Malang Sarr,Malang Sarr,Malang Sarr,fr FRA,DF,Nice,18.0,1999.0,14.7,980.0,1110.0,88.3,19706.0,7496.0,339.0,362.0,93.6,495.0,538.0,92.0,136.0,185.0,73.5,0,0.4,0.4,-0.4,5.0,55.0,2.0,1.0,72.0,24.0,44.4,17.0,7.0,0.0,8.0,18.0,10.0,14.0,6.0,8.0,31.0,55.0,44.0,2.0,Matches,1110.0,1050.0,59.0,27.0,1.0,23.0,11.0,32.0,0.0,0.0,0.0,0.0,980.0,1.0,14.0,1,0,0.0,13,16.0,0.0,11.0,31.0,18.0,0.0,1.0,0.0,100.0,28.0,16.0,63.6
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",84,Ibrahima,,Konat\u00e9,2975,1999-05-25,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",393247,right,I. Konat\u00e9,null,Ibrahima Konaté,Ibrahima Konaté,Ibrahima Konaté,fr FRA,DF,RB Leipzig,18.0,1999.0,13.6,527.0,651.0,81.0,9792.0,4235.0,209.0,239.0,87.4,264.0,303.0,87.1,47.0,100.0,47.0,0,0.5,0.4,-0.5,3.0,39.0,1.0,0.0,51.0,32.0,78.3,20.0,12.0,0.0,18.0,23.0,5.0,14.0,3.0,11.0,20.0,52.0,66.0,0.0,Matches,651.0,631.0,20.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,2.0,1,0,0.0,13,10.0,0.0,0.0,20.0,25.0,0.0,1.0,0.0,58.0,36.0,19.0,65.5
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",83,Jasper,,Cillessen,676,1989-04-22,185,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",33,right,J. Cillessen,664,Jasper Cillessen,Jasper Cillessen,Jasper Cillessen,nl NED,GK,Barcelona,28.0,1989.0,1.0,25.0,31.0,80.6,605.0,330.0,4.0,4.0,100.0,14.0,14.0,100.0,7.0,13.0,53.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,31.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",91,Toby,,Alderweireld,1624,1989-03-02,187,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",36,right,T. Alderweireld,5629,Toby Alderweireld,Toby Alderweireld,Toby Alderweireld,be BEL,DF,Tottenham,28.0,1989.0,13.1,793.0,931.0,85.2,18331.0,6712.0,176.0,188.0,93.6,459.0,496.0,92.5,153.0,236.0,64.8,0,0.1,0.4,-0.1,3.0,102.0,7.0,1.0,109.0,19.0,53.3,7.0,11.0,1.0,8.0,15.0,7.0,11.0,5.0,6.0,4.0,23.0,55.0,0.0,Matches,931.0,901.0,30.0,21.0,1.0,31.0,7.0,9.0,0.0,0.0,0.0,0.0,793.0,0.0,4.0,3,0,0.0,8,1.0,0.0,7.0,4.0,13.0,0.0,0.0,0.0,57.0,14.0,29.0,32.6
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",88,Jan,,Vertonghen,1624,1987-04-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",48,left,J. Vertonghen,5629,Jan Vertonghen,Jan Vertonghen,Jan Vertonghen,be BEL,DF,Tottenham,30.0,1987.0,35.6,2181.0,2542.0,85.8,45152.0,16163.0,618.0,682.0,90.6,1263.0,1380.0,91.5,287.0,439.0,65.4,0,0.8,0.9,-0.8,12.0,215.0,10.0,1.0,243.0,64.0,69.4,40.0,20.0,4.0,25.0,36.0,11.0,29.0,11.0,18.0,60.0,124.0,177.0,0.0,Matches,2542.0,2438.0,100.0,65.0,2.0,25.0,15.0,35.0,0.0,0.0,0.0,0.0,2181.0,4.0,16.0,4,0,0.0,20,25.0,1.0,15.0,60.0,41.0,0.0,1.0,0.0,247.0,116.0,66.0,63.7
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,Alexander,,Djiku,3783,1994-08-09,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",229427,right,A. Djiku,null,Alexander Djiku,Alexander Djiku,Alexander Djiku,gh GHA,DF,Caen,22.0,1994.0,28.0,1042.0,1297.0,80.3,21167.0,8596.0,347.0,414.0,83.8,527.0,627.0,84.1,155.0,224.0,69.2,0,0.1,0.2,-0.1,3.0,75.0,4.0,1.0,123.0,65.0,48.1,52.0,11.0,2.0,25.0,52.0,27.0,34.0,5.0,29.0,57.0,122.0,155.0,2.0,Matches,1297.0,1240.0,52.0,43.0,0.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,1042.0,5.0,2.0,10,0,0.0,43,39.0,0.0,5.0,57.0,43.0,0.0,0.0,0.0,187.0,81.0,48.0,62.8
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",74,Marcel,,Sabitzer,2975,1994-03-17,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",65596,right,M. Sabitzer,null,Marcel Sabitzer,Marcel Sabitzer,Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,23.0,1994.0,19.9,674.0,946.0,71.2,10230.0,3763.0,374.0,456.0,82.0,207.0,291.0,71.1,57.0,120.0,47.5,5,3.3,4.3,1.7,34.0,78.0,29.0,9.0,112.0,38.0,46.9,12.0,20.0,6.0,23.0,49.0,26.0,23.0,2.0,21.0,24.0,62.0,21.0,1.0,Matches,946.0,842.0,98.0,26.0,4.0,3.0,65.0,58.0,13.0,3.0,6.0,1.0,674.0,6.0,23.0,4,0,0.0,14,33.0,4.0,65.0,24.0,28.0,1.0,0.0,0.0,118.0,13.0,15.0,46.4
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,1990-03-14,186,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",66,right,K. Sig\u00fe\u00f3rsson,null,Kolbeinn Sigþórsson,Kolbeinn Sigþórsson,Kolbeinn Sigþórsson,is ISL,FW,Nantes,27.0,1990.0,0.3,6.0,10.0,60.0,68.0,0.0,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Matches,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,60.0
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,Charles,,Traor\u00e9,3795,1992-01-01,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",393284,left,C. Traor\u00e9,null,Charles Traoré,Charles Traore,Charles Traore,ml MLI,DF,Troyes,25.0,1992.0,33.3,1314.0,1756.0,74.8,21470.0,9461.0,668.0,758.0,88.1,490.0,635.0,77.2,114.0,250.0,45.6,3,3.5,2.3,-0.5,20.0,97.0,23.0,10.0,129.0,60.0,46.4,46.0,9.0,5.0,26.0,56.0,30.0,52.0,16.0,36.0,57.0,117.0,171.0,0.0,Matches,1756.0,1343.0,405.0,26.0,0.0,9.0,67.0,379.0,0.0,0.0,0.0,0.0,1314.0,8.0,40.0,8,1,0.0,31,28.0,1.0,67.0,57.0,32.0,0.0,0.0,0.0,222.0,40.0,35.0,53.3
"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",75,Niklas,,Moisander,2443,1985-09-29,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",77,left,N. Moisander,4849,Niklas Moisander,Niklas Moisander,Niklas Moisander,fi FIN,DF,Werder Bremen,31.0,1985.0,25.0,1235.0,1486.0,83.1,27514.0,11116.0,292.0,339.0,86.1,725.0,802.0,90.4,213.0,327.0,65.1,0,0.6,1.2,-0.6,8.0,108.0,9.0,0.0,126.0,36.0,66.7,22.0,13.0,1.0,24.0,36.0,12.0,21.0,9.0,12.0,38.0,74.0,98.0,2.0,Matches,1486.0,1441.0,42.0,39.0,1.0,22.0,7.0,3.0,0.0,0.0,0.0,0.0,1235.0,3.0,10.0,6,0,0.0,34,16.0,0.0,7.0,38.0,28.0,0.0,2.0,1.0,128.0,40.0,30.0,57.1
