Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%
Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,24.3,884,1176,75.2,14197,6422,479,532,90.0,311,431,72.2,74,152,48.7,1,2.1,1.8,-1.1,18,63,28,6,92,47,47.1,29,15,3,16,34,18,24,5,19,47,94,64,2,Matches,1176,897,276,30,3,2,56,235,11,3,5,2,884,3,31,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5
Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,29,44,65.9,376,77,24,30,80.0,2,5,40.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,1,3,4,66.7,3,1,0,4,6,2,3,0,3,1,5,0,0,Matches,44,41,2,2,0,1,2,0,0,0,0,0,29,1,3,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0
Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,206,314,65.6,2754,557,123,173,71.1,56,89,62.9,10,22,45.5,1,1.6,0.8,-0.6,12,16,6,2,20,10,7.7,1,7,2,1,13,12,8,1,7,1,11,11,0,Matches,314,286,28,0,2,1,13,1,0,0,0,0,206,0,6,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2
Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,168,285,58.9,3889,1505,51,66,77.3,72,96,75.0,45,107,42.1,0,1.2,1.4,-1.2,6,28,7,4,30,9,29.4,2,5,2,5,17,12,2,0,2,9,18,11,2,Matches,285,252,28,14,3,4,30,4,10,3,4,3,168,5,9,2,1,0,8,8,0,30,9,5,0,0,0,40,7,4,63.6
Adrián,es ESP,GK,West Ham,30,1987,19.0,266,571,46.6,11798,10438,12,12,100.0,51,52,98.1,203,503,40.4,0,0.0,0.1,0.0,0,13,1,0,0,2,25.0,2,0,0,1,4,3,1,0,1,0,2,15,1,Matches,571,332,235,51,0,1,0,0,0,0,0,0,266,4,0,2,0,0,1,3,0,0,0,1,0,0,0,20,2,1,66.7
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,72,82,87.8,1326,256,29,32,90.6,35,39,89.7,6,8,75.0,0,0.0,0.0,0.0,0,6,0,0,4,3,50.0,0,3,0,1,2,1,1,0,1,1,4,1,0,Matches,82,81,1,0,0,0,0,1,0,0,0,0,72,0,0,1,0,0,1,0,0,0,1,3,0,0,0,15,0,0,
Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,113,154,73.4,1370,152,77,102,75.5,27,38,71.1,0,1,0.0,0,0.1,0.1,-0.1,2,8,2,0,9,4,16.7,1,2,1,1,6,5,4,0,4,0,4,6,0,Matches,154,142,12,1,0,0,2,0,0,0,0,0,113,0,2,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7
Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,529,650,81.4,6018,1087,360,405,88.9,107,140,76.4,11,13,84.6,6,5.6,3.8,+0.4,40,25,24,0,49,9,11.8,2,6,1,2,17,15,12,1,11,6,15,3,0,Matches,650,620,27,0,4,0,16,3,1,0,0,0,529,3,20,2,0,0,10,17,16,16,6,6,0,0,0,59,10,19,34.5
Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,1344,1609,83.5,26293,11309,437,510,85.7,737,833,88.5,159,240,66.3,3,1.9,1.7,+1.1,9,89,3,0,96,53,55.0,34,16,3,22,40,18,47,24,23,48,101,246,2,Matches,1609,1551,56,43,0,2,5,13,0,0,0,0,1344,2,11,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9
Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,771,1298,59.4,14418,5905,365,436,83.7,259,408,63.5,122,337,36.2,7,5.7,4.7,+1.3,46,98,36,19,114,52,30.8,16,29,7,16,52,36,32,4,28,27,79,34,0,Matches,1298,1124,162,28,11,20,217,64,65,50,9,0,771,12,64,5,1,0,20,26,2,217,27,33,0,1,0,172,11,15,42.3
