passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",91,Toby,,Alderweireld,1624,1989-03-02,187,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",36,right,T. Alderweireld,5629,Toby Alderweireld,Toby Alderweireld,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,793.0,931.0,85.2,18331.0,6712.0,176.0,188.0,93.6,459.0,496.0,92.5,153.0,236.0,64.8,0,0.1,0.4,-0.1,3.0,102.0,7.0,1.0,109.0,19.0,53.3,7.0,11.0,1.0,8.0,15.0,7.0,11.0,5.0,6.0,4.0,23.0,55.0,0.0,Matches,931.0,901.0,30.0,21.0,1.0,31.0,7.0,9.0,0.0,0.0,0.0,0.0,793.0,0.0,4.0,3,0,0.0,8,1.0,0.0,7.0,4.0,13.0,0.0,0.0,0.0,57.0,14.0,29.0,32.6,England
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",88,Jan,,Vertonghen,1624,1987-04-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",48,left,J. Vertonghen,5629,Jan Vertonghen,Jan Vertonghen,Jan Vertonghen,be BEL,DF,Tottenham,30,1987,35.6,2181.0,2542.0,85.8,45152.0,16163.0,618.0,682.0,90.6,1263.0,1380.0,91.5,287.0,439.0,65.4,0,0.8,0.9,-0.8,12.0,215.0,10.0,1.0,243.0,64.0,69.4,40.0,20.0,4.0,25.0,36.0,11.0,29.0,11.0,18.0,60.0,124.0,177.0,0.0,Matches,2542.0,2438.0,100.0,65.0,2.0,25.0,15.0,35.0,0.0,0.0,0.0,0.0,2181.0,4.0,16.0,4,0,0.0,20,25.0,1.0,15.0,60.0,41.0,0.0,1.0,0.0,247.0,116.0,66.0,63.7,England
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",77,Nordin,,Amrabat,16470,1987-03-31,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",32968,right,N. Amrabat,16216,Nordin Amrabat,Nordin Amrabat,Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,44.0,78.0,56.4,585.0,190.0,29.0,36.0,80.6,9.0,21.0,42.9,4.0,9.0,44.4,0,0.1,0.2,-0.1,3.0,4.0,3.0,2.0,7.0,6.0,33.3,1.0,5.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,Matches,78.0,75.0,2.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,44.0,1.0,5.0,0,0,0.0,6,2.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,6.0,33.3,England
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",80,Nacer,,Chadli,1627,1989-08-02,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",261,right,N. Chadli,5629,Nacer Chadli,Nacer Chadli,Nacer Chadli,be BEL,"FW,MF",West Brom,27,1989,2.9,54.0,77.0,70.1,617.0,122.0,32.0,40.0,80.0,15.0,21.0,71.4,1.0,5.0,20.0,0,0.1,0.1,-0.1,2.0,3.0,2.0,0.0,7.0,1.0,25.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,Matches,77.0,70.0,7.0,3.0,0.0,0.0,7.0,1.0,3.0,1.0,1.0,0.0,54.0,0.0,5.0,1,0,0.0,1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,33.3,England
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",76,Du\u0161an,,Tadi\u0107,9,1988-11-20,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",383,left,D. Tadi\u0107,17322,Dušan Tadić,Dušan Tadić,Dušan Tadić,rs SRB,"MF,FW",Southampton,28,1988,31.0,872.0,1255.0,69.5,13009.0,3610.0,479.0,572.0,83.7,274.0,398.0,68.8,64.0,145.0,44.1,3,5.7,4.7,-2.7,59.0,68.0,56.0,14.0,167.0,46.0,31.4,16.0,22.0,8.0,11.0,35.0,24.0,38.0,2.0,36.0,19.0,65.0,29.0,1.0,Matches,1255.0,1170.0,78.0,10.0,14.0,5.0,121.0,16.0,31.0,15.0,13.0,0.0,872.0,7.0,63.0,4,0,0.0,46,52.0,10.0,121.0,19.0,29.0,0.0,0.0,0.0,140.0,6.0,41.0,12.8,England
"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",75,Alex,,Iwobi,1609,1996-05-03,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",230020,right,A. Iwobi,16823,Alex Iwobi,Alex Iwobi,Alex Iwobi,ng NGA,"MF,FW",Arsenal,21,1996,20.3,997.0,1171.0,85.1,14645.0,3786.0,587.0,636.0,92.3,321.0,379.0,84.7,53.0,78.0,67.9,5,3.5,3.6,1.5,36.0,93.0,31.0,0.0,138.0,19.0,27.8,8.0,8.0,3.0,5.0,18.0,13.0,19.0,1.0,18.0,7.0,26.0,10.0,1.0,Matches,1171.0,1151.0,17.0,3.0,12.0,5.0,20.0,11.0,1.0,0.0,1.0,0.0,997.0,3.0,27.0,1,0,0.0,11,12.0,1.0,20.0,7.0,15.0,0.0,0.0,0.0,110.0,3.0,14.0,17.6,England
"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",78,Maya,,Yoshida,1619,1988-08-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",703,right,M. Yoshida,12913,Maya Yoshida,Maya Yoshida,Maya Yoshida,jp JPN,DF,Southampton,28,1988,22.8,898.0,1072.0,83.8,17334.0,6704.0,317.0,348.0,91.1,479.0,525.0,91.2,95.0,173.0,54.9,0,0.4,0.5,-0.4,5.0,44.0,2.0,1.0,58.0,27.0,72.0,22.0,5.0,0.0,18.0,25.0,7.0,32.0,14.0,18.0,41.0,68.0,133.0,2.0,Matches,1072.0,1044.0,24.0,20.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,898.0,4.0,7.0,4,1,1.0,19,15.0,0.0,2.0,41.0,20.0,1.0,0.0,0.0,142.0,65.0,38.0,63.1,England
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",76,Mesut,,\u00d6zil,1609,1988-10-15,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",3319,left,M. \u00d6zil,3148,Mesut Özil,Mesut Özil,Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,24.0,1604.0,1933.0,83.0,24221.0,7044.0,883.0,973.0,90.8,548.0,646.0,84.8,99.0,170.0,58.2,8,8.7,7.7,-0.7,84.0,183.0,79.0,2.0,277.0,20.0,22.7,6.0,10.0,4.0,5.0,22.0,17.0,11.0,1.0,10.0,12.0,32.0,9.0,0.0,Matches,1933.0,1794.0,129.0,31.0,18.0,8.0,98.0,16.0,76.0,45.0,16.0,3.0,1604.0,10.0,43.0,4,0,0.0,18,22.0,12.0,98.0,12.0,13.0,1.0,0.0,0.0,100.0,1.0,12.0,7.7,England
"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",72,Marcus,,Rashford,1611,1997-10-31,187,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",397178,right,M. Rashford,2413,Marcus Rashford,Marcus Rashford,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,20.1,470.0,674.0,69.7,6278.0,1425.0,281.0,324.0,86.7,114.0,157.0,72.6,22.0,81.0,27.2,5,3.8,3.3,1.2,22.0,22.0,24.0,4.0,46.0,14.0,33.3,4.0,5.0,5.0,6.0,18.0,12.0,18.0,0.0,18.0,8.0,22.0,19.0,0.0,Matches,674.0,599.0,68.0,7.0,8.0,8.0,81.0,10.0,41.0,24.0,10.0,0.0,470.0,7.0,28.0,3,0,0.0,21,17.0,9.0,81.0,8.0,11.0,0.0,0.0,0.0,52.0,18.0,24.0,42.9,England
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",78,Andreas,,Christensen,1610,1996-04-10,188,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",135103,right,A. Christensen,7712,Andreas Christensen,Andreas Christensen,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,23.2,1263.0,1357.0,93.1,24630.0,8441.0,387.0,409.0,94.6,719.0,752.0,95.6,134.0,157.0,85.4,0,0.1,0.9,-0.1,4.0,62.0,2.0,0.0,76.0,26.0,66.7,23.0,3.0,0.0,10.0,15.0,5.0,25.0,17.0,8.0,39.0,65.0,109.0,5.0,Matches,1357.0,1314.0,38.0,35.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1263.0,5.0,6.0,0,0,0.0,8,13.0,1.0,0.0,39.0,13.0,0.0,0.0,0.0,139.0,55.0,26.0,67.9,England
