Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Aaron Cresswell,eng ENG,DF,West Ham,27,1989,34.1,1204,1723,69.9,22518,9345,531,593,89.5,488,642,76.0,163,408,40.0,3,3.2,2.4,-0.2,34,135,21,10,128,34,63.3,12,20,2,19,30,11,42,17,25,44,78,117,1,Matches,1723,1346,361,82,3,23,196,212,67,43,14,2,1204,16,51,7,0,0,20,15,3,196,44,21,0,0,0,149,57,47,54.8,England
Aaron Lennon,eng ENG,MF,Burnley,30,1987,12.4,202,305,66.2,2883,729,121,153,79.1,62,89,69.7,10,21,47.6,2,0.8,1.3,+1.2,7,14,13,5,28,20,10.0,5,14,1,2,20,18,20,5,15,8,28,18,0,Matches,305,301,3,1,0,0,28,2,0,0,0,0,202,1,20,2,0,0,10,12,1,28,8,14,0,0,0,57,4,12,25.0,England
Aaron Lennon,eng ENG,"FW,MF",Everton,30,1987,8.8,146,219,66.7,2086,558,92,122,75.4,45,60,75.0,6,11,54.5,0,0.2,0.3,-0.2,4,6,3,0,19,17,23.8,10,5,2,5,21,16,13,1,12,11,28,9,0,Matches,219,203,15,0,0,0,10,14,0,0,0,0,146,1,18,0,0,0,11,8,0,10,11,10,2,0,0,25,5,7,41.7,England
Aaron Mooy,au AUS,MF,Huddersfield,26,1990,34.1,1553,2098,74.0,25274,7426,788,921,85.6,509,657,77.5,162,337,48.1,3,4.0,4.0,-1.0,50,203,28,9,239,102,41.8,39,51,12,23,55,32,39,5,34,38,140,52,0,Matches,2098,1927,163,82,4,29,185,3,78,43,18,1,1553,8,60,4,0,0,26,16,2,185,38,60,0,0,0,266,32,38,45.7,England
Aaron Ramsey,wls WAL,MF,Arsenal,26,1990,20.5,1065,1277,83.4,16341,4329,556,627,88.7,390,457,85.3,69,97,71.1,8,5.4,5.3,+2.6,28,102,36,3,134,35,18.2,18,17,0,8,44,36,14,3,11,24,59,6,1,Matches,1277,1236,32,20,10,12,17,12,0,0,0,0,1065,9,24,0,0,0,28,33,0,17,24,27,2,0,0,128,10,15,40.0,England
Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7.0,196,293,66.9,2676,1448,125,150,83.3,56,89,62.9,8,33,24.2,0,0.2,0.4,-0.2,3,12,4,3,23,30,78.9,20,7,3,15,19,4,18,7,11,15,45,45,0,Matches,293,222,71,1,0,0,20,70,0,0,0,0,196,0,12,1,0,0,2,3,0,20,15,19,0,0,0,38,9,10,47.4,England
Abdelhamid Sabiri,ma MAR,MF,Huddersfield,20,1996,2.4,66,100,66.0,907,230,40,58,69.0,17,25,68.0,4,9,44.4,1,0.1,0.1,+0.9,3,9,2,0,13,5,14.3,2,0,3,1,7,6,4,0,4,1,6,2,0,Matches,100,95,4,1,0,0,1,0,0,0,0,0,66,1,1,1,0,0,4,4,1,1,1,4,0,0,0,8,14,12,53.8,England
Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,1885,2278,82.7,30698,7812,907,1054,86.1,787,897,87.7,132,193,68.4,3,2.3,2.9,+0.7,40,152,30,3,222,79,34.2,28,42,9,27,79,52,43,10,33,54,133,61,0,Matches,2278,2212,60,35,2,16,26,2,0,0,0,0,1885,6,44,10,0,0,44,26,2,26,54,52,0,1,0,345,42,51,45.2,England
Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,2.7,192,229,83.8,2309,705,126,136,92.6,46,54,85.2,3,11,27.3,0,0.4,0.6,-0.4,7,18,11,2,33,3,20.0,3,0,0,2,10,8,3,0,3,1,4,1,0,Matches,229,226,3,1,0,0,8,1,1,1,0,0,192,0,3,1,0,0,4,5,1,8,1,1,0,0,0,15,3,4,42.9,England
Adam Smith,eng ENG,"DF,MF",Bournemouth,26,1991,23.0,898,1119,80.3,14432,4294,464,523,88.7,339,423,80.1,71,120,59.2,3,1.6,1.5,+1.4,22,64,13,5,90,50,45.3,33,16,1,24,53,29,46,8,38,31,81,73,0,Matches,1119,920,198,21,1,7,35,171,6,2,0,0,898,1,27,6,0,0,23,39,1,35,31,36,0,0,0,105,13,27,32.5,England
