passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",73,Malang,,Sarr,3775,1999-01-23,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",393228,left,M. Sarr,4423,Malang Sarr,Malang Sarr,Malang Sarr,fr FRA,DF,Nice,18,1999,14.7,980,1110,88.3,19706,7496,339,362,93.6,495,538,92.0,136,185,73.5,0,0.4,0.4,-0.4,5,55,2,1,72,24,44.4,17,7,0,8,18,10,14,6,8,31,55,44,2,Matches,1110,1050,59,27,1,23,11,32,0,0,0,0,980,1,14,1,0,0,13,16,0,11,31,18,0,1,0,100,28,16,63.6,France
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,Alexander,,Djiku,3783,1994-08-09,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",229427,right,A. Djiku,null,Alexander Djiku,Alexander Djiku,Alexander Djiku,gh GHA,DF,Caen,22,1994,28.0,1042,1297,80.3,21167,8596,347,414,83.8,527,627,84.1,155,224,69.2,0,0.1,0.2,-0.1,3,75,4,1,123,65,48.1,52,11,2,25,52,27,34,5,29,57,122,155,2,Matches,1297,1240,52,43,0,10,5,9,0,0,0,0,1042,5,2,10,0,0,43,39,0,5,57,43,0,0,0,187,81,48,62.8,France
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,1990-03-14,186,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",66,right,K. Sig\u00fe\u00f3rsson,null,Kolbeinn Sigþórsson,Kolbeinn Sigþórsson,Kolbeinn Sigþórsson,is ISL,FW,Nantes,27,1990,0.3,6,10,60.0,68,0,5,7,71.4,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,Matches,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,60.0,France
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,Charles,,Traor\u00e9,3795,1992-01-01,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",393284,left,C. Traor\u00e9,null,Charles Traoré,Charles Traore,Charles Traore,ml MLI,DF,Troyes,25,1992,33.3,1314,1756,74.8,21470,9461,668,758,88.1,490,635,77.2,114,250,45.6,3,3.5,2.3,-0.5,20,97,23,10,129,60,46.4,46,9,5,26,56,30,52,16,36,57,117,171,0,Matches,1756,1343,405,26,0,9,67,379,0,0,0,0,1314,8,40,8,1,0,31,28,1,67,57,32,0,0,0,222,40,35,53.3,France
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",78,Ola,,Toivonen,3780,1986-07-03,192,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",123,right,O. Toivonen,7047,Ola Toivonen,Ola Toivonen,Ola Toivonen,se SWE,"FW,MF",Toulouse,31,1986,8.9,231,326,70.9,3712,956,127,170,74.7,71,99,71.7,24,35,68.6,0,0.4,0.8,-0.4,8,31,8,1,41,4,0.0,1,0,3,0,7,7,2,0,2,2,6,12,0,Matches,326,309,14,2,4,1,3,4,1,0,0,0,231,3,6,2,0,0,27,9,6,3,2,4,1,0,0,27,42,34,55.3,France
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",78,Yacine,,Bammou,3770,1991-09-11,188,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",229697,right,Y. Bammou,null,Yacine Bammou,Yacine Bammou,Yacine Bammou,ma MAR,"MF,FW",Nantes,25,1991,8.1,191,272,70.2,2632,653,117,140,83.6,48,65,73.8,13,31,41.9,0,0.2,0.5,-0.2,6,8,7,1,18,18,28.6,6,10,2,4,14,10,16,4,12,6,24,9,0,Matches,272,270,0,0,1,4,17,0,0,0,0,0,191,2,17,2,1,1,19,8,5,17,6,11,0,0,0,52,10,20,33.3,France
"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",82,Hyun-Jun,,Suk,3795,1991-06-29,190,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",382,right,Suk Hyun-Jun,null,Hyun-Jun Suk,Suk Hyun-jun,Suk Hyun-jun,kr KOR,FW,Troyes,26,1991,13.3,170,317,53.6,1997,498,115,166,69.3,33,81,40.7,6,12,50.0,0,0.9,0.5,-0.9,12,9,4,1,17,6,11.1,2,2,2,1,9,8,10,0,10,1,7,7,0,Matches,317,283,32,1,0,1,15,0,0,0,0,0,170,2,22,5,0,0,44,34,4,15,1,5,0,0,0,29,75,68,52.4,France
"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",56,Ablie,,Jallow,3777,1998-11-14,166,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",376908,left,A. Jallow,null,Ablie Jallow,Ablie Jallow,Ablie Jallow,gm GAM,FW,Metz,18,1998,1.4,36,45,80.0,703,168,9,13,69.2,24,26,92.3,2,4,50.0,0,0.9,0.8,-0.9,2,1,2,1,2,1,0.0,1,0,0,0,5,5,1,0,1,3,4,1,0,Matches,45,45,0,0,0,0,3,0,0,0,0,0,36,0,2,0,0,0,2,3,0,3,3,1,0,0,0,8,4,0,100.0,France
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",73,Hamza,,Mendyl,2449,1997-10-21,179,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",426702,left,H. Mendyl,16216,Hamza Mendyl,Hamza Mendyl,Hamza Mendyl,ma MAR,"DF,MF",Lille,19,1997,9.5,318,413,77.0,4864,1666,162,182,89.0,116,138,84.1,21,51,41.2,0,0.9,0.8,-0.9,3,13,6,1,20,18,55.0,12,6,0,11,20,9,5,0,5,17,35,26,0,Matches,413,335,76,3,0,1,33,73,0,0,0,0,318,2,13,2,1,0,11,3,0,33,17,10,0,1,0,45,6,9,40.0,France
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,Martin,,Terrier,3779,1997-03-04,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",394006,right,M. Terrier,4425,Martin Terrier,Martin Terrier,Martin Terrier,fr FRA,"FW,MF",Strasbourg,20,1997,18.6,367,500,73.4,5330,1170,206,252,81.7,109,149,73.2,23,39,59.0,3,3.4,2.1,-0.4,28,18,13,2,36,42,32.1,16,23,3,9,28,19,11,1,10,14,56,6,0,Matches,500,480,16,1,5,8,21,4,3,3,0,0,367,4,14,3,0,0,30,28,8,21,14,30,1,0,0,59,48,52,48.0,France
