Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Abdallah N'dour,sn SEN,DF,Strasbourg,23,1993,2.8,95,129,73.6,1530,641,55,61,90.2,24,31,77.4,12,25,48.0,0,0.2,0.2,-0.2,4,4,4,3,9,9,50.0,6,3,0,5,10,5,6,1,5,2,11,5,0,Matches,129,101,28,0,0,2,13,28,0,0,0,0,95,0,5,2,1,0,4,6,0,13,2,5,0,0,0,18,1,2,33.3,France
Abdoul Camara,gn GUI,"FW,MF",Guingamp,27,1990,9.9,223,309,72.2,2963,682,141,166,84.9,58,81,71.6,8,27,29.6,1,0.8,1.1,+0.2,10,7,9,4,24,6,27.3,2,3,1,3,11,8,7,1,6,7,13,4,0,Matches,309,296,11,2,0,0,38,2,7,1,6,0,223,2,11,0,0,0,7,11,2,38,7,4,0,0,0,45,9,9,50.0,France
Abdoulaye Bamba,ci CIV,DF,Angers,27,1990,17.0,657,854,76.9,9646,4317,393,431,91.2,225,294,76.5,27,86,31.4,0,0.5,0.8,-0.5,6,46,5,1,70,29,53.3,23,6,0,16,30,14,8,1,7,11,40,52,0,Matches,854,644,206,9,0,1,35,197,0,0,0,0,657,4,23,2,0,0,21,18,2,35,11,22,0,1,0,81,17,13,56.7,France
Abdoulaye Diallo,sn SEN,GK,Rennes,25,1992,3.0,56,78,71.8,1818,1405,9,9,100.0,23,23,100.0,24,45,53.3,0,0.0,0.0,0.0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,1,Matches,78,49,29,9,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,France
Abdoulaye Touré,gn GUI,MF,Nantes,23,1994,31.2,1075,1372,78.4,18398,6247,491,572,85.8,407,502,81.1,125,197,63.5,1,0.9,1.4,+0.1,19,154,15,4,184,74,34.3,28,38,8,23,67,44,40,10,30,62,136,49,1,Matches,1372,1353,14,12,2,19,19,1,0,0,0,0,1075,5,27,3,0,0,53,54,0,19,62,52,1,0,0,254,61,34,64.2,France
Ablie Jallow,gm GAM,FW,Metz,18,1998,1.4,36,45,80.0,703,168,9,13,69.2,24,26,92.3,2,4,50.0,0,0.9,0.8,-0.9,2,1,2,1,2,1,0.0,1,0,0,0,5,5,1,0,1,3,4,1,0,Matches,45,45,0,0,0,0,3,0,0,0,0,0,36,0,2,0,0,0,2,3,0,3,3,1,0,0,0,8,4,0,100.0,France
Adama Diakhaby,fr FRA,FW,Monaco,21,1996,9.4,140,211,66.4,1900,360,94,112,83.9,37,60,61.7,6,16,37.5,3,0.6,0.5,+2.4,8,5,4,2,7,23,37.5,6,12,5,6,16,10,13,0,13,13,36,5,0,Matches,211,204,5,0,2,1,20,3,0,0,0,0,140,2,11,2,1,0,15,14,10,20,13,15,0,0,0,39,15,27,35.7,France
Adama Mbengue,sn SEN,DF,Caen,23,1993,17.7,529,838,63.1,9279,5163,248,296,83.8,215,319,67.4,55,153,35.9,0,2.1,1.3,-2.1,11,43,13,8,78,71,63.1,48,18,5,41,65,24,21,1,20,28,99,50,0,Matches,838,615,217,7,0,10,89,209,1,0,0,0,529,6,46,2,1,0,38,24,0,89,28,48,0,0,0,152,18,16,52.9,France
Adama Niane,ml MLI,FW,Troyes,24,1993,24.0,381,573,66.5,4813,671,240,320,75.0,91,142,64.1,14,25,56.0,2,1.5,0.9,+0.5,17,17,6,2,27,22,23.1,5,10,7,6,26,20,11,2,9,9,31,13,0,Matches,573,512,60,0,1,2,12,3,0,0,0,0,381,1,16,6,0,0,36,28,31,12,9,12,2,0,0,78,74,189,28.1,France
Adama Soumaoro,fr FRA,DF,Lille,25,1992,13.2,540,586,92.2,9364,3311,215,227,94.7,278,290,95.9,31,48,64.6,0,0.1,0.1,-0.1,1,11,0,0,17,9,66.7,7,2,0,2,3,1,22,16,6,16,25,50,1,Matches,586,561,22,21,0,0,0,1,0,0,0,0,540,3,1,2,0,0,7,14,2,0,16,5,0,0,0,80,19,9,67.9,France
