passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",84,Ibrahima,,Konat\u00e9,2975,1999-05-25,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",393247,right,I. Konat\u00e9,null,Ibrahima Konaté,Ibrahima Konaté,Ibrahima Konaté,fr FRA,DF,RB Leipzig,18,1999,13.6,527,651,81.0,9792,4235,209,239,87.4,264,303,87.1,47,100,47.0,0,0.5,0.4,-0.5,3,39,1,0,51,32,78.3,20,12,0,18,23,5,14,3,11,20,52,66,0,Matches,651,631,20,20,1,2,0,0,0,0,0,0,527,0,2,1,0,0.0,13,10,0,0,20,25,0,1,0,58,36,19,65.5,Germany
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",74,Marcel,,Sabitzer,2975,1994-03-17,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",65596,right,M. Sabitzer,null,Marcel Sabitzer,Marcel Sabitzer,Marcel Sabitzer,at AUT,"MF,FW",RB Leipzig,23,1994,19.9,674,946,71.2,10230,3763,374,456,82.0,207,291,71.1,57,120,47.5,5,3.3,4.3,1.7,34,78,29,9,112,38,46.9,12,20,6,23,49,26,23,2,21,24,62,21,1,Matches,946,842,98,26,4,3,65,58,13,3,6,1,674,6,23,4,0,0.0,14,33,4,65,24,28,1,0,0,118,13,15,46.4,Germany
"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",75,Niklas,,Moisander,2443,1985-09-29,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",77,left,N. Moisander,4849,Niklas Moisander,Niklas Moisander,Niklas Moisander,fi FIN,DF,Werder Bremen,31,1985,25.0,1235,1486,83.1,27514,11116,292,339,86.1,725,802,90.4,213,327,65.1,0,0.6,1.2,-0.6,8,108,9,0,126,36,66.7,22,13,1,24,36,12,21,9,12,38,74,98,2,Matches,1486,1441,42,39,1,22,7,3,0,0,0,0,1235,3,10,6,0,0.0,34,16,0,7,38,28,0,2,1,128,40,30,57.1,Germany
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,Charlison,,Benschop,2455,1989-08-21,191,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,right,C. Benschop,18138,Charlison Benschop,Charlison Benschop,Charlison Benschop,cw CUW,"MF,DF",Hannover 96,27,1989,2.0,38,54,70.4,534,175,23,28,82.1,9,13,69.2,3,7,42.9,0,0.0,0.1,0.0,1,7,0,0,6,4,37.5,1,3,0,3,8,5,1,0,1,2,6,2,0,Matches,54,50,4,0,0,1,3,1,0,0,0,0,38,0,2,0,0,0.0,4,1,0,3,2,4,0,0,0,8,4,4,50.0,Germany
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",65,Jetro,,Willems,2462,1994-03-30,169,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",110,left,J. Willems,null,Jetro Willems,Jetro Willems,Jetro Willems,nl NED,"FW,DF",Eint Frankfurt,23,1994,18.5,613,877,69.9,12167,5916,222,278,79.9,271,354,76.6,104,187,55.6,2,2.7,4.3,-0.7,35,53,34,12,77,55,64.3,28,23,4,27,42,15,31,1,30,20,75,53,0,Matches,877,585,286,33,1,6,96,205,48,13,27,0,613,6,38,4,0,0.0,24,24,9,96,20,42,0,0,0,99,19,23,45.2,Germany
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Jeffrey,,Gouweleeuw,2481,1991-07-10,188,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",159,right,J. Gouweleeuw,null,Jeffrey Gouweleeuw,Jeffrey Gouweleeuw,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,26,1991,26.5,915,1183,77.3,19085,8862,298,348,85.6,422,479,88.1,165,299,55.2,0,0.4,0.8,-0.4,7,106,10,0,108,57,65.9,36,18,3,27,41,14,36,10,26,54,111,128,0,Matches,1183,1126,52,47,1,9,3,5,0,0,0,0,915,5,15,4,0,0.0,31,8,5,3,54,44,0,0,0,143,58,56,50.9,Germany
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",70,Peter,,Pekar\u00edk,2457,1986-10-30,176,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",32959,right,P. Pekar\u00edk,14496,Peter Pekarík,Peter Pekarík,Peter Pekarík,sk SVK,DF,Hertha BSC,30,1986,15.3,606,782,77.5,9971,4396,311,344,90.4,243,303,80.2,41,92,44.6,2,1.7,1.4,0.3,12,60,10,5,65,42,72.4,17,21,4,21,29,8,23,3,20,18,60,44,0,Matches,782,625,155,11,0,0,19,144,0,0,0,0,606,2,31,1,0,0.0,14,13,0,19,18,33,0,0,0,54,14,13,51.9,Germany
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",82,Marcin,,Kami\u0144ski,2445,1992-01-15,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99410,left,M. Kami\u0144ski,null,Marcin Kamiński,Marcin Kamiński,Marcin Kamiński,pl POL,DF,Stuttgart,25,1992,12.6,690,820,84.1,13816,5295,217,247,87.9,389,430,90.5,77,127,60.6,0,0.5,0.4,-0.5,4,52,6,4,53,17,66.7,5,11,1,12,18,6,12,3,9,30,47,55,0,Matches,820,797,20,15,0,5,8,4,0,0,0,0,690,3,14,0,0,0.0,7,0,0,8,30,14,0,0,0,46,33,30,52.4,Germany
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",76,Karim,,Onisiwo,2460,1992-03-17,188,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",66654,right,K. Onisiwo,null,Karim Onisiwo,Karim Onisiwo,Karim Onisiwo,at AUT,"DF,FW",Mainz 05,25,1992,2.8,55,88,62.5,706,271,34,40,85.0,17,30,56.7,1,5,20.0,0,0.6,0.6,-0.6,3,3,1,0,6,7,42.9,5,1,1,3,7,4,4,0,4,1,8,8,0,Matches,88,72,15,0,0,0,2,15,0,0,0,0,55,1,7,0,0,0.0,9,10,1,2,1,5,0,0,0,12,6,6,50.0,Germany
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",76,Pawe\u0142,,Olkowski,2463,1990-02-13,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99437,right,P. Olkowski,null,Paweł Olkowski,Paweł Olkowski,Paweł Olkowski,pl POL,DF,Köln,27,1990,5.0,71,149,47.7,1410,756,30,44,68.2,30,60,50.0,10,36,27.8,0,0.0,0.1,0.0,0,11,0,0,8,17,55.6,9,8,0,5,9,4,11,2,9,3,20,17,0,Matches,149,117,31,0,0,0,15,31,0,0,0,0,71,1,8,1,0,0.0,9,4,0,15,3,12,0,1,0,22,2,8,20.0,Germany
