passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Kevin,,Strootman,3158,1990-02-13,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",114,left,K. Strootman,null,Kevin Strootman,Kevin Strootman,Kevin Strootman,nl NED,MF,Roma,27.0,1990.0,25.1,1248.0,1488.0,83.9,20395.0,6128.0,592.0,673.0,88.0,502.0,578.0,86.9,98.0,145.0,67.6,1,1.5,2.3,-0.5,30.0,198.0,23.0,4.0,211.0,57.0,32.6,19.0,24.0,14.0,15.0,46.0,31.0,27.0,3.0,24.0,27.0,84.0,21.0,0.0,Matches,1488.0,1423.0,58.0,36.0,5.0,6.0,24.0,21.0,1.0,0.0,0.0,0.0,1248.0,7.0,19.0,4,0,0.0,48,24.0,4.0,24.0,27.0,38.0,0.0,0.0,0.0,154.0,29.0,30.0,49.2,Italy
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",61,Dries,,Mertens,3187,1987-05-06,169,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",122,right,D. Mertens,5629,Dries Mertens,Dries Mertens,Dries Mertens,be BEL,FW,Napoli,30.0,1987.0,33.4,744.0,1015.0,73.3,9449.0,2057.0,486.0,601.0,80.9,155.0,222.0,69.8,38.0,57.0,66.7,7,7.2,5.7,-0.2,58.0,48.0,49.0,2.0,105.0,28.0,13.9,5.0,13.0,10.0,5.0,36.0,31.0,18.0,2.0,16.0,5.0,33.0,8.0,1.0,Matches,1015.0,978.0,29.0,3.0,22.0,2.0,30.0,3.0,0.0,0.0,0.0,0.0,744.0,8.0,29.0,4,0,0.0,38,42.0,13.0,30.0,5.0,22.0,2.0,0.0,0.0,67.0,3.0,24.0,11.1,Italy
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Stefan,,de Vrij,3162,1992-02-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",130,right,S. de Vrij,null,Stefan de Vrij,Stefan de Vrij,Stefan de Vrij,nl NED,DF,Lazio,25.0,1992.0,33.7,1409.0,1546.0,91.1,27794.0,10144.0,462.0,487.0,94.9,760.0,792.0,96.0,167.0,233.0,71.7,0,0.3,0.4,-0.3,5.0,78.0,4.0,0.0,86.0,31.0,60.9,14.0,17.0,0.0,14.0,23.0,9.0,43.0,24.0,19.0,71.0,102.0,156.0,1.0,Matches,1546.0,1503.0,38.0,35.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1409.0,5.0,4.0,3,0,0.0,19,10.0,1.0,0.0,71.0,22.0,0.0,2.0,0.0,245.0,44.0,24.0,64.7,Italy
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",72,Filip,,\u0110uri\u010di\u0107,3219,1992-01-30,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",174,right,F. \u0110uri\u010di\u0107,null,Filip Đuričić,Filip Đuričić,Filip Đuričić,rs SRB,"MF,FW",Benevento,25.0,1992.0,10.8,310.0,388.0,79.9,4715.0,1049.0,175.0,200.0,87.5,105.0,122.0,86.1,19.0,27.0,70.4,1,1.6,1.2,-0.6,9.0,25.0,8.0,0.0,44.0,22.0,55.6,11.0,8.0,3.0,5.0,9.0,4.0,7.0,1.0,6.0,9.0,31.0,5.0,0.0,Matches,388.0,371.0,13.0,2.0,7.0,2.0,9.0,4.0,6.0,4.0,2.0,0.0,310.0,4.0,14.0,1,0,0.0,5,20.0,0.0,9.0,9.0,14.0,0.0,0.0,0.0,50.0,1.0,14.0,6.7,Italy
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",72,Filip,,\u0110uri\u010di\u0107,3219,1992-01-30,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",174,right,F. \u0110uri\u010di\u0107,null,Filip Đuričić,Filip Đuričić,Filip Đuričić,rs SRB,MF,Sampdoria,25.0,1992.0,0.1,6.0,10.0,60.0,60.0,8.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,1.0,0.0,0,0.1,0.0,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Italy
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",93,Jago\u0161,,Vukovi\u0107,3194,1988-06-10,195,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",192,left,J. Vukovi\u0107,null,Jagoš Vuković,Jagoš Vuković,Jagoš Vuković,rs SRB,DF,Hellas Verona,29.0,1988.0,14.8,420.0,515.0,81.6,9198.0,3339.0,113.0,129.0,87.6,231.0,258.0,89.5,72.0,116.0,62.1,1,0.5,0.6,0.5,3.0,21.0,1.0,0.0,30.0,5.0,50.0,3.0,1.0,1.0,3.0,6.0,3.0,19.0,14.0,5.0,20.0,25.0,113.0,0.0,Matches,515.0,490.0,24.0,24.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,420.0,1.0,6.0,1,0,0.0,4,7.0,1.0,1.0,20.0,4.0,0.0,0.0,0.0,74.0,37.0,27.0,57.8,Italy
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,Robin,,Gosens,3172,1994-06-05,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",295176,left,R. Gosens,null,Robin Gosens,Robin Gosens,Robin Gosens,de GER,DF,Atalanta,23.0,1994.0,16.1,684.0,871.0,78.5,10491.0,3826.0,372.0,416.0,89.4,261.0,329.0,79.3,35.0,84.0,41.7,2,1.9,1.2,0.1,16.0,58.0,21.0,6.0,87.0,61.0,58.7,35.0,22.0,4.0,27.0,46.0,19.0,17.0,2.0,15.0,22.0,83.0,40.0,0.0,Matches,871.0,743.0,123.0,11.0,1.0,3.0,38.0,112.0,0.0,0.0,0.0,0.0,684.0,5.0,20.0,1,0,0.0,21,15.0,6.0,38.0,22.0,46.0,1.0,0.0,0.0,93.0,12.0,11.0,52.2,Italy
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",70,Godfred,,Donsah,3166,1996-06-07,175,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",295273,right,G. Donsah,17527,Godfred Donsah,Godfred Donsah,Godfred Donsah,gh GHA,MF,Bologna,21.0,1996.0,19.9,475.0,639.0,74.3,7568.0,2299.0,269.0,309.0,87.1,160.0,212.0,75.5,33.0,65.0,50.8,1,1.5,0.9,-0.5,13.0,50.0,14.0,0.0,70.0,29.0,58.8,11.0,14.0,4.0,10.0,17.0,7.0,25.0,0.0,25.0,22.0,51.0,43.0,0.0,Matches,639.0,622.0,12.0,3.0,1.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,475.0,5.0,26.0,3,0,0.0,19,12.0,3.0,5.0,22.0,20.0,0.0,0.0,0.0,110.0,17.0,33.0,34.0,Italy
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",80,Bram,,Nuytinck,3163,1990-05-04,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",394,left,B. Nuytinck,null,Bram Nuytinck,Bram Nuytinck,Bram Nuytinck,nl NED,DF,Udinese,27.0,1990.0,26.2,1062.0,1251.0,84.9,21525.0,7599.0,328.0,357.0,91.9,583.0,651.0,89.6,139.0,210.0,66.2,1,0.5,0.5,0.5,3.0,68.0,4.0,0.0,78.0,65.0,64.1,40.0,24.0,1.0,25.0,39.0,14.0,43.0,24.0,19.0,37.0,102.0,124.0,1.0,Matches,1251.0,1180.0,70.0,48.0,1.0,15.0,3.0,22.0,0.0,0.0,0.0,0.0,1062.0,1.0,9.0,2,0,0.0,28,5.0,0.0,3.0,37.0,41.0,0.0,0.0,0.0,101.0,53.0,33.0,61.6,Italy
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,Marten,,de Roon,3172,1991-03-29,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",625,right,M. de Roon,null,Marten de Roon,Marten de Roon,Marten de Roon,nl NED,MF,Atalanta,26.0,1991.0,28.6,1431.0,1699.0,84.2,26299.0,7654.0,581.0,661.0,87.9,648.0,731.0,88.6,169.0,227.0,74.4,3,1.4,1.7,1.6,19.0,178.0,21.0,2.0,205.0,77.0,35.4,27.0,44.0,6.0,29.0,82.0,53.0,40.0,5.0,35.0,46.0,123.0,36.0,0.0,Matches,1699.0,1651.0,41.0,28.0,0.0,22.0,4.0,13.0,0.0,0.0,0.0,0.0,1431.0,7.0,23.0,10,1,1.0,59,20.0,0.0,4.0,46.0,50.0,0.0,0.0,0.0,198.0,48.0,43.0,52.7,Italy
