Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Achraf Lazaar,ma MAR,"MF,DF",Benevento,25,1992,5.3,118,169,69.8,1810,392,64,77,83.1,36,48,75.0,11,29,37.9,0,0.2,0.2,-0.2,3,4,4,3,4,12,45.5,9,2,1,5,11,6,5,1,4,6,18,10,0,Matches,169,148,21,1,0,2,20,18,2,0,2,0,118,0,5,0,0,0,10,4,0,20,6,8,0,0,0,33,5,6,45.5,Italy
Adam Marušić,me MNE,DF,Lazio,24,1992,28.0,926,1206,76.8,13219,4097,546,637,85.7,319,410,77.8,28,68,41.2,4,3.3,3.1,+0.7,36,35,30,13,67,28,42.9,17,8,3,12,28,16,22,2,20,31,59,33,0,Matches,1206,981,224,4,0,3,98,220,0,0,0,0,926,1,58,3,1,0,28,15,6,98,31,21,1,0,0,134,27,16,62.8,Italy
Adam Masina,ma MAR,DF,Bologna,23,1994,31.4,1276,1662,76.8,21096,9195,648,771,84.0,512,642,79.8,93,171,54.4,1,1.8,1.9,-0.8,25,143,21,10,162,82,42.9,49,26,7,36,84,48,46,7,39,51,133,127,0,Matches,1662,1350,306,22,0,12,46,284,0,0,0,0,1276,6,38,8,1,0,56,23,5,46,51,57,0,2,0,163,115,48,70.6,Italy
Adam Ounas,dz ALG,FW,Napoli,20,1996,1.1,45,58,77.6,650,137,24,28,85.7,17,22,77.3,3,5,60.0,0,0.3,0.3,-0.3,5,1,2,2,4,4,25.0,0,2,2,1,4,3,2,0,2,0,4,2,0,Matches,58,57,1,0,0,0,7,0,1,1,0,0,45,0,2,0,0,0,0,1,0,7,0,3,1,0,0,3,0,0,,Italy
Adel Taarabt,ma MAR,"FW,MF",Genoa,28,1989,17.9,587,767,76.5,9731,2191,282,354,79.7,232,295,78.6,57,78,73.1,2,2.7,2.6,-0.7,34,51,30,1,81,18,43.8,5,11,2,7,16,9,13,3,10,12,30,7,0,Matches,767,716,49,8,3,9,42,4,14,6,2,0,587,2,20,4,1,0,22,27,15,42,12,11,0,0,0,98,5,19,20.8,Italy
Adem Ljajić,rs SRB,"MF,FW",Torino,25,1991,24.1,1010,1280,78.9,14406,4669,622,698,89.1,263,345,76.2,69,120,57.5,10,8.4,6.2,+1.6,68,106,55,3,149,12,38.5,4,6,2,5,13,8,11,1,10,9,21,13,0,Matches,1280,1111,161,63,8,5,85,26,57,25,20,0,1010,8,32,2,0,0,7,17,2,85,9,9,0,0,0,75,1,5,16.7,Italy
Adrian Stoian,ro ROU,"MF,FW",Crotone,26,1991,23.7,644,1055,61.0,12046,5242,280,375,74.7,258,411,62.8,97,203,47.8,4,2.4,2.6,+1.6,19,112,37,10,139,23,25.0,12,10,1,11,44,33,29,0,29,25,48,26,0,Matches,1055,1004,44,18,7,4,68,15,9,6,1,1,644,7,45,5,0,0,26,49,3,68,25,19,0,0,0,159,6,30,16.7,Italy
Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,405,478,84.7,6431,1627,204,220,92.7,166,189,87.8,23,40,57.5,0,0.6,0.2,-0.6,6,38,2,0,60,8,14.3,2,6,0,1,7,6,8,1,7,16,24,10,2,Matches,478,468,8,6,0,1,12,0,0,0,0,0,405,2,9,5,1,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4,Italy
Ahmad Benali,ly LBY,MF,Crotone,25,1992,9.0,313,403,77.7,4782,1629,162,188,86.2,122,153,79.7,16,33,48.5,1,0.3,0.5,+0.7,8,38,9,0,50,19,18.5,8,10,1,5,27,22,14,1,13,8,27,15,0,Matches,403,362,38,9,2,2,9,12,3,0,1,0,313,3,13,2,0,0,14,15,0,9,8,10,0,0,0,64,9,14,39.1,Italy
Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,716,1093,65.5,24841,19064,58,58,100.0,261,267,97.8,394,763,51.6,0,0.0,0.0,0.0,1,7,0,0,0,2,100.0,2,0,0,2,2,0,0,0,0,1,3,12,4,Matches,1093,690,401,101,0,4,0,0,0,0,0,0,716,2,0,0,1,0,2,3,0,0,1,2,0,0,0,54,7,0,100.0,Italy
