passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,player_id,foot,shortName,currentNationalTeamId,player_name,matched_name,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",83,Jasper,,Cillessen,676,1989-04-22,185,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",33,right,J. Cillessen,664,Jasper Cillessen,Jasper Cillessen,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1.0,25,31,80.6,605,330,4,4,100.0,14,14,100.0,7,13,53.8,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31,21,10,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Spain
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,Przemys\u0142aw,,Tyto\u0144,677,1987-01-04,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99,right,P. Tyto\u0144,null,Przemysław Tytoń,Przemysław Tytoń,Przemysław Tytoń,pl POL,GK,La Coruña,30,1987,1.1,17,28,60.7,508,358,1,1,100.0,9,9,100.0,7,18,38.9,0,0.0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28,13,15,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Spain
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,FW,Alavés,25,1992,13.6,230,367,62.7,3143,861,143,206,69.4,59,87,67.8,12,27,44.4,3,1.7,1.6,1.3,13,29,5,0,35,7,20.0,3,1,3,2,10,8,10,1,9,2,9,7,0,Matches,367,358,4,0,3,3,14,1,1,1,0,0,230,5,13,3,0,0,31,16,10,14,2,7,0,1,0,38,30,46,39.5,Spain
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047,John Guidetti,John Guidetti,John Guidetti,se SWE,"FW,MF",Celta Vigo,25,1992,1.3,28,38,73.7,373,114,17,22,77.3,6,8,75.0,1,2,50.0,0,0.5,0.2,-0.5,2,3,0,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,38,38,0,0,1,0,0,0,0,0,0,0,28,0,2,0,0,0,2,0,1,0,0,0,0,0,0,6,1,1,50.0,Spain
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",77,Nordin,,Amrabat,16470,1987-03-31,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",32968,right,N. Amrabat,16216,Nordin Amrabat,Nordin Amrabat,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,18.0,296,481,61.5,4395,981,173,215,80.5,95,151,62.9,16,49,32.7,4,3.2,2.1,0.8,23,20,17,5,50,19,29.4,5,10,4,5,17,12,13,0,13,5,24,2,0,Matches,481,450,24,0,5,3,61,13,2,1,0,0,296,7,23,6,1,1,54,36,25,61,5,10,0,1,0,76,12,23,34.3,Spain
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",75,R\u00f3bert,,Maz\u00e1\u0148,692,1994-02-09,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",786,left,R. Maz\u00e1\u0148,14496,Róbert Mazáň,Róbert Mazáň,Róbert Mazáň,sk SVK,DF,Celta Vigo,23,1994,0.9,74,84,88.1,1274,436,32,35,91.4,38,41,92.7,4,6,66.7,0,0.0,0.1,0.0,1,5,2,2,10,0,0.0,0,0,0,0,1,1,1,0,1,2,2,0,0,Matches,84,75,9,2,0,1,3,7,0,0,0,0,74,0,1,0,0,0,2,0,0,3,2,0,0,0,0,5,1,0,100.0,Spain
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",80,Oussama,,Tannane,3782,1994-03-23,177,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1751,left,O. Tannane,null,Oussama Tannane,Oussama Tannane,Oussama Tannane,ma MAR,FW,Las Palmas,23,1994,6.4,183,251,72.9,2774,724,106,124,85.5,59,78,75.6,13,29,44.8,0,1.0,0.6,-1.0,8,11,5,1,17,15,58.3,6,8,1,7,12,5,5,0,5,5,20,0,0,Matches,251,215,33,4,2,1,21,8,21,12,0,0,183,3,8,1,0,0,15,17,1,21,5,13,0,0,0,24,1,3,25.0,Spain
"{'name': 'Martinique', 'id': '474', 'alpha3code': 'MTQ', 'alpha2code': 'MQ'}",81,Rapha\u00ebl,,Varane,675,1993-04-25,191,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",3309,right,R. Varane,4418,Raphaël Varane,Raphaël Varane,Raphaël Varane,fr FRA,DF,Real Madrid,24,1993,25.8,1211,1339,90.4,24144,8452,434,460,94.3,591,635,93.1,169,214,79.0,1,0.5,0.2,0.5,6,86,2,0,66,28,53.3,20,7,1,8,15,7,27,10,17,33,61,109,2,Matches,1339,1280,54,51,0,25,1,3,0,0,0,0,1211,5,4,3,0,0,19,12,0,1,33,19,0,0,0,143,49,27,64.5,Spain
"{'name': 'Algeria', 'id': '12', 'alpha3code': 'DZA', 'alpha2code': 'DZ'}",81,Karim,,Benzema,675,1987-12-19,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",3321,right,K. Benzema,null,Karim Benzema,Karim Benzema,Karim Benzema,fr FRA,FW,Real Madrid,29,1987,23.9,723,881,82.1,9638,1966,473,541,87.4,159,194,82.0,46,54,85.2,10,6.8,5.3,3.2,44,59,30,1,98,14,15.0,2,6,6,3,20,17,18,0,18,8,22,19,0,Matches,881,832,42,2,8,10,6,0,1,0,0,0,723,7,25,0,0,0,19,11,15,6,8,8,1,0,0,43,9,28,24.3,Spain
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",81,Cl\u00e9ment,,Lenglet,680,1995-06-17,186,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",134503,left,C. Lenglet,null,Clément Lenglet,Clément Lenglet,Clément Lenglet,fr FRA,DF,Sevilla,22,1995,33.3,1441,1727,83.4,27507,12150,550,604,91.1,685,751,91.2,179,316,56.6,1,0.7,0.5,0.3,5,67,3,0,76,67,55.3,32,35,0,21,38,17,44,27,17,35,102,157,1,Matches,1727,1663,55,52,2,12,1,3,0,0,0,0,1441,9,15,9,0,0,52,24,1,1,35,50,0,0,0,164,70,41,63.1,Spain
"{'name': 'Croatia', 'id': '191', 'alpha3code': 'HRV', 'alpha2code': 'HR'}",78,Ivan,,Rakiti\u0107,676,1988-03-10,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",3476,right,I. Rakiti\u0107,9598,Ivan Rakitić,Ivan Rakitić,Ivan Rakitić,hr CRO,MF,Barcelona,29,1988,31.5,2282,2575,88.6,38020,11750,1127,1202,93.8,827,905,91.4,238,325,73.2,5,3.9,4.8,1.1,29,241,28,2,250,52,33.3,16,30,6,15,45,30,42,7,35,44,96,16,0,Matches,2575,2460,104,40,11,19,54,15,49,17,19,0,2282,11,22,4,0,0,33,46,3,54,44,31,0,0,0,232,24,24,50.0,Spain
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",75,Tom\u00e1s,,Pina Isla,696,1987-10-14,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",3650,right,Tom\u00e1s Pina,null,Tomás Pina Isla,Tomás Pina Isla,Tomás Pina Isla,es ESP,MF,Alavés,29,1987,26.5,795,980,81.1,13329,4426,391,465,84.1,302,359,84.1,75,109,68.8,0,1.3,0.9,-1.3,10,108,4,0,122,71,50.0,27,38,6,20,40,20,28,10,18,43,114,37,0,Matches,980,959,17,16,2,9,6,1,0,0,0,0,795,4,7,7,0,0,72,29,1,6,43,49,0,0,0,200,44,61,41.9,Spain
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,Antoine,,Griezmann,679,1991-03-21,175,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",3682,left,A. Griezmann,4418,Antoine Griezmann,Antoine Griezmann,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,26,1991,28.0,809,1080,74.9,12542,3324,436,539,80.9,253,314,80.6,70,116,60.3,9,6.8,4.7,2.2,44,69,44,1,125,36,33.3,6,23,7,10,30,20,20,1,19,10,46,14,0,Matches,1080,1017,55,17,13,16,41,3,18,4,11,0,809,8,32,7,1,0,24,44,26,41,10,24,1,0,0,120,25,60,29.4,Spain
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",77,Papakouli,,Diop,701,1986-03-19,179,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",3704,right,P. Diop,null,Papakouli Diop,Papakouli Diop,Papakouli Diop,sn SEN,MF,Eibar,31,1986,10.4,340,449,75.7,6280,1795,130,162,80.2,158,192,82.3,43,74,58.1,0,0.2,0.5,-0.2,4,52,7,2,65,26,42.3,6,16,4,11,26,15,3,0,3,13,39,10,0,Matches,449,433,16,14,1,4,5,2,0,0,0,0,340,0,3,5,0,0,25,21,0,5,13,20,0,0,0,69,29,29,50.0,Spain
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",77,Papakouli,,Diop,701,1986-03-19,179,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}",3704,right,P. Diop,null,Papakouli Diop,Papakouli Diop,Papakouli Diop,sn SEN,MF,Espanyol,31,1986,2.9,63,80,78.8,1074,300,27,32,84.4,28,33,84.8,5,10,50.0,0,0.0,0.0,0.0,2,13,0,0,9,5,0.0,1,3,1,0,3,3,5,2,3,6,11,6,0,Matches,80,79,1,1,0,1,0,0,0,0,0,0,63,0,1,2,0,0,11,5,0,0,6,3,0,0,0,18,4,3,57.1,Spain
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",75,Nemanja,,Maksimovi\u0107,674,1995-01-26,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",265864,right,N. Maksimovi\u0107,null,Nemanja Maksimović,Nemanja Maksimović,Nemanja Maksimović,rs SRB,MF,Valencia,22,1995,6.2,216,258,83.7,3422,753,113,129,87.6,80,93,86.0,17,27,63.0,0,0.4,0.2,-0.4,9,11,7,1,22,21,50.0,10,8,3,8,16,8,15,6,9,16,37,8,0,Matches,258,255,2,2,0,2,5,0,0,0,0,0,216,1,1,1,0,0,5,2,0,5,16,13,0,0,0,29,13,17,43.3,Spain
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",78,Zouhair,,Feddal,684,1989-12-23,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",3791,left,Z. Feddal,null,Zouhair Feddal,Zouhair Feddal,Zouhair Feddal,ma MAR,DF,Betis,28,1989,14.0,668,825,81.0,14299,4829,218,240,90.8,314,353,89.0,128,211,60.7,0,0.1,0.2,-0.1,1,64,1,1,66,22,58.3,14,6,2,7,12,5,17,13,4,36,58,95,2,Matches,825,780,42,35,0,25,3,7,0,0,0,0,668,3,5,7,0,0,20,16,1,3,36,14,0,0,1,73,27,17,61.4,Spain
