Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Aarón Martín,es ESP,DF,Espanyol,20,1997,31.3,1053,1412,74.6,15981,5502,635,717,88.6,320,419,76.4,77,194,39.7,0,2.8,3.7,-2.8,31,63,30,23,86,56,52.5,41,12,3,31,59,28,26,5,21,49,105,78,0,Matches,1412,1066,339,40,2,4,148,282,17,8,9,0,1053,7,45,6,0,0,29,20,0,148,49,36,0,0,0,151,18,41,30.5,Spain
Achraf Hakimi,ma MAR,DF,Real Madrid,18,1998,8.4,411,506,81.2,5365,1832,285,317,89.9,103,132,78.0,14,33,42.4,0,0.3,0.6,-0.3,5,20,7,3,31,21,44.0,9,6,6,11,25,14,9,1,8,10,31,19,1,Matches,506,433,72,4,0,6,30,68,0,0,0,0,411,1,13,0,0,0,8,6,1,30,10,15,0,0,0,50,9,10,47.4,Spain
Adalberto Peñaranda,ve VEN,"FW,MF",Málaga,20,1997,8.9,193,249,77.5,2497,310,122,149,81.9,52,63,82.5,7,10,70.0,0,0.4,0.2,-0.4,10,11,3,0,18,10,66.7,2,6,2,2,3,1,8,1,7,0,10,1,0,Matches,249,237,10,1,0,1,5,0,0,0,0,0,193,2,7,3,0,0,28,27,3,5,0,6,0,0,0,41,17,46,27.0,Spain
Aday,es ESP,DF,Girona,29,1987,20.4,738,1047,70.5,12574,3756,386,450,85.8,261,350,74.6,77,188,41.0,0,1.6,2.2,-1.6,20,36,30,22,61,17,35.3,11,4,2,6,17,11,19,3,16,25,42,52,1,Matches,1047,835,209,16,1,15,134,190,3,0,2,0,738,3,37,10,0,0,39,15,6,134,25,15,0,0,1,97,37,16,69.8,Spain
Adnan Januzaj,be BEL,FW,Real Sociedad,22,1995,17.5,407,552,73.7,6423,2055,237,263,90.1,113,144,78.5,35,84,41.7,5,5.5,3.6,-0.5,35,38,23,4,68,16,27.8,2,8,6,5,18,13,12,0,12,11,27,5,0,Matches,552,485,58,13,2,10,59,11,34,12,18,0,407,9,20,4,0,0,32,60,6,59,11,11,0,0,0,74,5,14,26.3,Spain
Adrián Diéguez,es ESP,DF,Alavés,21,1996,4.8,131,168,78.0,2548,1275,67,76,88.2,40,54,74.1,22,33,66.7,0,0.0,0.1,0.0,0,12,3,1,11,10,46.2,5,5,0,6,13,7,5,0,5,11,21,24,1,Matches,168,133,34,7,0,4,1,27,0,0,0,0,131,1,2,5,0,0,17,1,0,1,11,5,0,1,0,30,3,5,37.5,Spain
Adrián González,es ESP,"MF,FW",Málaga,29,1988,26.0,851,1074,79.2,15241,4082,399,477,83.6,312,361,86.4,110,156,70.5,0,1.2,0.9,-1.2,18,103,8,1,114,40,24.0,14,22,4,12,50,38,25,8,17,38,78,34,0,Matches,1074,1043,22,16,2,30,15,2,2,1,1,0,851,9,25,8,1,0,39,31,2,15,38,25,0,0,0,147,63,89,41.4,Spain
Adrián López,es ESP,"FW,MF",La Coruña,29,1988,26.1,610,904,67.5,8324,2436,377,496,76.0,188,275,68.4,21,45,46.7,6,5.7,3.7,+0.3,34,52,23,4,104,24,28.0,11,8,5,7,25,18,22,4,18,10,34,49,0,Matches,904,884,7,0,6,3,29,2,1,1,0,0,610,13,28,1,0,0,16,29,12,29,10,14,0,0,0,116,75,76,49.7,Spain
Adrián Marín,es ESP,DF,Villarreal,20,1997,2.6,84,101,83.2,1541,550,43,49,87.8,31,36,86.1,10,14,71.4,0,0.0,0.0,0.0,1,9,1,0,8,6,25.0,3,3,0,2,8,6,2,0,2,3,9,8,0,Matches,101,89,10,2,0,1,2,8,0,0,0,0,84,2,0,1,0,0,6,0,0,2,3,4,0,0,0,9,2,1,66.7,Spain
Ager Aketxe,es ESP,MF,Athletic Club,23,1993,0.4,32,42,76.2,478,96,18,21,85.7,9,11,81.8,3,7,42.9,0,0.0,0.0,0.0,0,3,0,0,6,1,50.0,1,0,0,1,2,1,1,0,1,1,2,0,0,Matches,42,37,5,2,0,0,7,0,3,2,1,0,32,0,1,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0.0,Spain
